Date,Value
2014-10-31,81.72
2014-09-30,91.17
2014-08-31,97.86
2014-07-31,98.23
2014-06-30,106.07
2014-05-31,103.4
2014-04-30,100.07
2014-03-31,101.57
2014-02-28,102.88
2014-01-31,97.55
2013-12-31,98.17
2013-11-30,92.55
2013-10-31,96.29
2013-09-30,102.36
2013-08-31,107.98
2013-07-31,105.1
2013-06-30,96.36
2013-05-31,91.93
2013-04-30,93.22
2013-03-31,97.24
2013-02-28,92.03
2013-01-31,97.65
2012-12-31,91.83
2012-11-30,88.54
2012-10-31,86.23
2012-09-30,92.18
2012-08-31,96.47
2012-07-31,88.08
2012-06-30,85.04
2012-05-31,86.52
2012-04-30,104.89
2012-03-31,103.03
2012-02-29,107.08
2012-01-31,98.46
2011-12-31,98.83
2011-11-30,100.36
2011-10-31,93.19
2011-09-30,78.93
2011-08-31,88.81
2011-07-31,95.68
2011-06-30,95.3
2011-05-31,102.7
2011-04-30,113.39
2011-03-31,106.19
2011-02-28,97.1
2011-01-31,90.99
2010-12-31,91.38
2010-11-30,84.12
2010-10-31,81.45
2010-09-30,79.95
2010-08-31,71.93
2010-07-31,78.85
2010-06-30,75.59
2010-05-31,74.0
2010-04-30,86.07
2010-03-31,83.45
2010-02-28,79.72
2010-01-31,72.85
2009-12-31,79.39
2009-11-30,77.19
2009-10-31,77.04
2009-09-30,70.46
2009-08-31,69.97
2009-07-31,69.26
2009-06-30,69.82
2009-05-31,66.31
2009-04-30,50.35
2009-03-31,49.64
2009-02-28,44.15
2009-01-31,41.73
2008-12-31,44.6
2008-11-30,55.21
2008-10-31,68.1
2008-09-30,100.7
2008-08-31,115.55
2008-07-31,124.17
2008-06-30,139.96
2008-05-31,127.35
2008-04-30,113.7
2008-03-31,101.54
2008-02-29,101.78
2008-01-31,91.67
2007-12-31,95.95
2007-11-30,88.6
2007-10-31,94.16
2007-09-30,81.64
2007-08-31,73.98
2007-07-31,78.2
2007-06-30,70.47
2007-05-31,64.02
2007-04-30,65.78
2007-03-31,65.94
2007-02-28,61.78
2007-01-31,58.17
2006-12-31,60.85
2006-11-30,62.97
2006-10-31,58.72
2006-09-30,62.9
2006-08-31,70.38
2006-07-31,74.56
2006-06-30,73.94
2006-05-31,71.42
2006-04-30,71.8
2006-03-31,66.25
2006-02-28,61.37
2006-01-31,67.86
2005-12-31,61.06
2005-11-30,57.33
2005-10-31,59.8
2005-09-30,66.21
2005-08-31,68.63
2005-07-31,60.71
2005-06-30,56.63
2005-05-31,52.08
2005-04-30,49.2
2005-03-31,55.31
2005-02-28,51.75
2005-01-31,48.25
2004-12-31,43.36
2004-11-30,49.16
2004-10-31,51.78
2004-09-30,49.56
2004-08-31,42.23
2004-07-31,43.72
2004-06-30,36.92
2004-05-31,39.9
2004-04-30,37.31
2004-03-31,35.75
2004-02-29,36.08
2004-01-31,33.16
2003-12-31,32.51
2003-11-30,30.33
2003-10-31,29.24
2003-09-30,29.19
2003-08-31,31.76
2003-07-31,30.56
2003-06-30,30.15
2003-05-31,29.56
2003-04-30,26.09
2003-03-31,31.14
2003-02-28,36.76
2003-01-31,33.51
2002-12-31,31.21
2002-11-30,26.87
2002-10-31,27.18
2002-09-30,30.59
2002-08-31,28.97
2002-07-31,27.02
2002-06-30,26.79
2002-05-31,25.37
2002-04-30,27.32
2002-03-31,26.21
2002-02-28,21.78
2002-01-31,19.71
2001-12-31,19.96
2001-11-30,19.46
2001-10-31,21.2
2001-09-30,23.44
2001-08-31,26.65
2001-07-31,26.7
2001-06-30,26.37
2001-05-31,28.39
2001-04-30,28.48
2001-03-31,26.37
2001-02-28,27.35
2001-01-31,28.62
2000-12-31,26.72
2000-11-30,33.61
2000-10-31,32.7
2000-09-30,30.87
2000-08-31,33.09
2000-07-31,27.5
2000-06-30,32.44
2000-05-31,29.03
2000-04-30,25.71
2000-03-31,26.86
2000-02-29,30.57
2000-01-31,27.65
1999-12-31,25.76
1999-11-30,24.87
1999-10-31,21.79
1999-09-30,24.54
1999-08-31,22.15
1999-07-31,20.52
1999-06-30,19.33
1999-05-31,16.85
1999-04-30,18.69
1999-03-31,16.66
1999-02-28,12.31
1999-01-31,12.81
1998-12-31,12.14
1998-11-30,11.37
1998-10-31,14.48
1998-09-30,16.19
1998-08-31,13.29
1998-07-31,14.27
1998-06-30,14.3
1998-05-31,15.21
1998-04-30,15.56
1998-03-31,15.75
1998-02-28,15.44
1998-01-31,17.21
1997-12-31,17.65
1997-11-30,19.13
1997-10-31,21.1
1997-09-30,21.13
1997-08-31,19.66
1997-07-31,20.19
1997-06-30,19.82
1997-05-31,21.0
1997-04-30,20.2
1997-03-31,20.35
1997-02-28,20.3
1997-01-31,24.15
1996-12-31,25.9
1996-11-30,23.7
1996-10-31,23.25
1996-09-30,24.2
1996-08-31,22.25
1996-07-31,20.46
1996-06-30,20.92
1996-05-31,19.77
1996-04-30,20.95
1996-03-31,21.43
1996-02-29,19.59
1996-01-31,17.76
1995-12-31,19.54
1995-11-30,18.27
1995-10-31,17.67
1995-09-30,17.54
1995-08-31,17.89
1995-07-31,17.62
1995-06-30,17.38
1995-05-31,18.88
1995-04-30,20.36
1995-03-31,19.18
1995-02-28,18.52
1995-01-31,18.48
1994-12-31,17.77
1994-11-30,18.06
1994-10-31,18.16
